symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,created_at
QIBNB,0.0,0.0,0.0,9.91e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
QIBTC,0.0,0.0,3e-07,2.9e-07,2.9e-07,561119.0,2.8e-07,1616007.0,2.9e-07,1279387.0,2.9e-07,3e-07,2.9e-07,1334079.0,0.39427817,2024-04-24 02:32:21.866,2024-04-25 02:32:21.866,1686118,1686276,159,2024-04-25
PORTOBTC,2.11e-06,5.165,4.269e-05,4.06e-05,4.296e-05,13.38,4.292e-05,40.92,4.309e-05,5.85,4.085e-05,4.484e-05,4.079e-05,16092.09,0.68695705,2024-04-24 02:35:06.692,2024-04-25 02:35:06.692,1870927,1872798,1872,2024-04-25
PORTOUSDT,0.063,2.331,2.76982758,2.703,2.766,3.85,2.764,2.73,2.767,43.54,2.703,2.869,2.68,821032.29,2274117.87733,2024-04-24 02:35:07.214,2024-04-25 02:35:07.214,20423999,20475223,51225,2024-04-25
PORTOTRY,2.04,2.315,90.75524896,88.16,90.17,57.3,90.09,1.62,90.37,180.83,88.13,93.71,87.85,147128.65,13352697.2594,2024-04-24 02:34:41.094,2024-04-25 02:34:41.094,10998451,11004551,6101,2024-04-25
PORTOEUR,0.0,0.0,0.0,2.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
POWRUSDT,-0.0188,-5.925,0.31262856,0.3173,0.2985,392.0,0.2984,2892.0,0.2986,390.0,0.3173,0.3252,0.2948,13549910.0,4236088.9037,2024-04-24 02:35:08.336,2024-04-25 02:35:08.336,24346306,24368338,22033,2024-04-25
POWRBUSD,0.0,0.0,0.0,0.1504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
AVAXETH,-0.00058,-4.817,0.01181062,0.01201,0.01146,1.3,0.01146,16.67,0.01147,38.03,0.01204,0.01217,0.0114,4389.63,51.8442489,2024-04-24 02:35:09.381,2024-04-25 02:35:09.381,2974239,2975541,1303,2024-04-25
SLPTRY,-0.00949,-6.497,0.14506914,0.14553,0.13657,4122.0,0.13616,41867.0,0.13657,176.0,0.14606,0.1511,0.13431,45577844.0,6611938.47148,2024-04-24 02:35:08.214,2024-04-25 02:35:08.214,10974587,10976883,2297,2024-04-25
FISTRY,0.0,0.0,0.0,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
LRCTRY,-0.464,-5.137,8.89585927,9.031,8.568,96.9,8.572,379.6,8.594,755.9,9.032,9.26,8.461,504850.9,4491082.5591,2024-04-24 02:35:09.961,2024-04-25 02:35:09.961,5445215,5447782,2568,2024-04-25
CHRETH,-4.4e-06,-4.247,0.00010151,0.0001028,9.92e-05,34.1,9.88e-05,958.9,9.92e-05,292.5,0.0001036,0.0001036,9.9e-05,60059.0,6.09641709,2024-04-24 02:34:52.388,2024-04-25 02:34:52.388,525910,526118,209,2024-04-25
FISBIDR,0.0,0.0,0.0,9124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
VGXUSDT,-0.0094,-10.905,0.08230976,0.0862,0.0768,25504.8,0.0767,8160.7,0.0768,3804.5,0.0862,0.089,0.0759,50734191.8,4175919.36391,2024-04-24 02:35:08.327,2024-04-25 02:35:08.327,26902068,26946797,44730,2024-04-25
GALAETH,-1.15e-06,-7.215,1.537e-05,1.584e-05,1.479e-05,102.0,1.479e-05,228.0,1.481e-05,4274.0,1.594e-05,1.603e-05,1.471e-05,2137071.0,32.85460711,2024-04-24 02:34:50.082,2024-04-25 02:34:50.082,1446111,1446659,549,2024-04-25
